size;resolution;window_size;nanoseconds
2;160x90;3x3;100
2;160x90;5x5;100
2;160x90;7x7;0
2;160x90;9x9;100
2;160x90;11x11;100
2;160x90;13x13;100
2;160x90;15x15;0
1;80x45;3x3;0
1;80x45;5x5;100
1;80x45;7x7;0
1;80x45;9x9;0
1;80x45;11x11;0
1;80x45;13x13;0
1;80x45;15x15;0
5;1280x720;3x3;100
5;1280x720;5x5;0
5;1280x720;7x7;100
5;1280x720;9x9;0
5;1280x720;11x11;0
5;1280x720;13x13;100
5;1280x720;15x15;0
4;640x360;3x3;100
4;640x360;5x5;0
4;640x360;7x7;100
4;640x360;9x9;0
4;640x360;11x11;0
4;640x360;13x13;0
4;640x360;15x15;100
3;320x180;3x3;0
3;320x180;5x5;0
3;320x180;7x7;100
3;320x180;9x9;0
3;320x180;11x11;0
3;320x180;13x13;100
3;320x180;15x15;0
2;160x90;3x3;100
2;160x90;5x5;100
2;160x90;7x7;0
2;160x90;9x9;0
2;160x90;11x11;0
2;160x90;13x13;0
2;160x90;15x15;0
1;80x45;3x3;0
1;80x45;5x5;0
1;80x45;7x7;100
1;80x45;9x9;0
1;80x45;11x11;100
1;80x45;13x13;0
1;80x45;15x15;100
5;1280x720;3x3;0
5;1280x720;5x5;0
5;1280x720;7x7;100
5;1280x720;9x9;0
5;1280x720;11x11;0
5;1280x720;13x13;0
5;1280x720;15x15;0
4;640x360;3x3;0
4;640x360;5x5;0
4;640x360;7x7;0
4;640x360;9x9;0
4;640x360;11x11;0
4;640x360;13x13;0
4;640x360;15x15;0
3;320x180;3x3;0
3;320x180;5x5;0
3;320x180;7x7;0
3;320x180;9x9;100
3;320x180;11x11;0
3;320x180;13x13;0
3;320x180;15x15;0
2;160x90;3x3;0
2;160x90;5x5;0
2;160x90;7x7;0
2;160x90;9x9;0
2;160x90;11x11;100
2;160x90;13x13;100
2;160x90;15x15;0
1;80x45;3x3;100
1;80x45;5x5;100
1;80x45;7x7;100
1;80x45;9x9;0
1;80x45;11x11;0
1;80x45;13x13;0
1;80x45;15x15;0
5;1280x720;3x3;0
5;1280x720;5x5;100
5;1280x720;7x7;100
5;1280x720;9x9;100
5;1280x720;11x11;0
5;1280x720;13x13;0
5;1280x720;15x15;0
4;640x360;3x3;0
4;640x360;5x5;0
4;640x360;7x7;0
4;640x360;9x9;0
4;640x360;11x11;100
4;640x360;13x13;0
4;640x360;15x15;0
3;320x180;3x3;0
3;320x180;5x5;0
3;320x180;7x7;0
3;320x180;9x9;0
3;320x180;11x11;100
3;320x180;13x13;0
3;320x180;15x15;0
2;160x90;3x3;0
2;160x90;5x5;0
2;160x90;7x7;0
2;160x90;9x9;100
2;160x90;11x11;0
2;160x90;13x13;0
2;160x90;15x15;100
1;80x45;3x3;0
1;80x45;5x5;100
1;80x45;7x7;100
1;80x45;9x9;0
1;80x45;11x11;0
1;80x45;13x13;0
1;80x45;15x15;100
5;1280x720;3x3;0
5;1280x720;5x5;0
5;1280x720;7x7;100
5;1280x720;9x9;100
5;1280x720;11x11;0
5;1280x720;13x13;0
5;1280x720;15x15;0
4;640x360;3x3;100
4;640x360;5x5;0
4;640x360;7x7;0
4;640x360;9x9;0
4;640x360;11x11;100
4;640x360;13x13;0
4;640x360;15x15;0
3;320x180;3x3;0
3;320x180;5x5;0
3;320x180;7x7;0
3;320x180;9x9;0
3;320x180;11x11;0
3;320x180;13x13;0
3;320x180;15x15;0
2;160x90;3x3;0
2;160x90;5x5;100
2;160x90;7x7;0
2;160x90;9x9;100
2;160x90;11x11;0
2;160x90;13x13;0
2;160x90;15x15;100
1;80x45;3x3;0
1;80x45;5x5;0
1;80x45;7x7;100
1;80x45;9x9;0
1;80x45;11x11;0
1;80x45;13x13;0
1;80x45;15x15;0
5;1280x720;3x3;0
5;1280x720;5x5;0
5;1280x720;7x7;100
5;1280x720;9x9;100
5;1280x720;11x11;100
5;1280x720;13x13;0
5;1280x720;15x15;100
4;640x360;3x3;0
4;640x360;5x5;100
4;640x360;7x7;100
4;640x360;9x9;0
4;640x360;11x11;0
4;640x360;13x13;0
4;640x360;15x15;0
3;320x180;3x3;0
3;320x180;5x5;100
3;320x180;7x7;0
3;320x180;9x9;0
3;320x180;11x11;0
3;320x180;13x13;0
3;320x180;15x15;0
2;160x90;3x3;0
2;160x90;5x5;0
2;160x90;7x7;0
2;160x90;9x9;0
2;160x90;11x11;100
2;160x90;13x13;0
2;160x90;15x15;0
1;80x45;3x3;0
1;80x45;5x5;100
1;80x45;7x7;0
1;80x45;9x9;0
1;80x45;11x11;0
1;80x45;13x13;100
1;80x45;15x15;0
5;1280x720;3x3;100
5;1280x720;5x5;0
5;1280x720;7x7;0
5;1280x720;9x9;0
5;1280x720;11x11;0
5;1280x720;13x13;0
5;1280x720;15x15;0
4;640x360;3x3;0
4;640x360;5x5;0
4;640x360;7x7;0
4;640x360;9x9;100
4;640x360;11x11;0
4;640x360;13x13;0
4;640x360;15x15;0
3;320x180;3x3;100
3;320x180;5x5;100
3;320x180;7x7;0
3;320x180;9x9;0
3;320x180;11x11;0
3;320x180;13x13;0
3;320x180;15x15;0
2;160x90;3x3;0
2;160x90;5x5;100
2;160x90;7x7;100
2;160x90;9x9;100
2;160x90;11x11;0
2;160x90;13x13;100
2;160x90;15x15;0
1;80x45;3x3;0
1;80x45;5x5;0
1;80x45;7x7;0
1;80x45;9x9;0
1;80x45;11x11;0
1;80x45;13x13;0
1;80x45;15x15;0
5;1280x720;3x3;0
5;1280x720;5x5;0
5;1280x720;7x7;100
5;1280x720;9x9;0
5;1280x720;11x11;0
5;1280x720;13x13;0
5;1280x720;15x15;0
4;640x360;3x3;0
4;640x360;5x5;100
4;640x360;7x7;0
4;640x360;9x9;0
4;640x360;11x11;100
4;640x360;13x13;0
4;640x360;15x15;100
3;320x180;3x3;0
3;320x180;5x5;0
3;320x180;7x7;100
3;320x180;9x9;100
3;320x180;11x11;0
3;320x180;13x13;0
3;320x180;15x15;100
2;160x90;3x3;0
2;160x90;5x5;0
2;160x90;7x7;0
2;160x90;9x9;0
2;160x90;11x11;100
2;160x90;13x13;100
2;160x90;15x15;0
1;80x45;3x3;100
1;80x45;5x5;100
1;80x45;7x7;0
1;80x45;9x9;0
1;80x45;11x11;100
1;80x45;13x13;0
1;80x45;15x15;0
5;1280x720;3x3;0
5;1280x720;5x5;0
5;1280x720;7x7;0
5;1280x720;9x9;100
5;1280x720;11x11;0
5;1280x720;13x13;0
5;1280x720;15x15;0
4;640x360;3x3;0
4;640x360;5x5;0
4;640x360;7x7;100
4;640x360;9x9;100
4;640x360;11x11;0
4;640x360;13x13;0
4;640x360;15x15;0
3;320x180;3x3;100
3;320x180;5x5;0
3;320x180;7x7;0
3;320x180;9x9;0
3;320x180;11x11;0
3;320x180;13x13;0
3;320x180;15x15;0
2;160x90;3x3;0
2;160x90;5x5;100
2;160x90;7x7;0
2;160x90;9x9;0
2;160x90;11x11;100
2;160x90;13x13;0
2;160x90;15x15;0
1;80x45;3x3;0
1;80x45;5x5;100
1;80x45;7x7;100
1;80x45;9x9;100
1;80x45;11x11;100
1;80x45;13x13;0
1;80x45;15x15;0
5;1280x720;3x3;100
5;1280x720;5x5;0
5;1280x720;7x7;0
5;1280x720;9x9;100
5;1280x720;11x11;100
5;1280x720;13x13;0
5;1280x720;15x15;0
4;640x360;3x3;0
4;640x360;5x5;0
4;640x360;7x7;0
4;640x360;9x9;0
4;640x360;11x11;0
4;640x360;13x13;0
4;640x360;15x15;0
3;320x180;3x3;100
3;320x180;5x5;100
3;320x180;7x7;0
3;320x180;9x9;0
3;320x180;11x11;100
3;320x180;13x13;0
3;320x180;15x15;100
2;160x90;3x3;100
2;160x90;5x5;0
2;160x90;7x7;0
2;160x90;9x9;0
2;160x90;11x11;100
2;160x90;13x13;0
2;160x90;15x15;100
1;80x45;3x3;0
1;80x45;5x5;100
1;80x45;7x7;0
1;80x45;9x9;0
1;80x45;11x11;100
1;80x45;13x13;100
1;80x45;15x15;0
5;1280x720;3x3;0
5;1280x720;5x5;0
5;1280x720;7x7;0
5;1280x720;9x9;0
5;1280x720;11x11;0
5;1280x720;13x13;0
5;1280x720;15x15;100
4;640x360;3x3;0
4;640x360;5x5;0
4;640x360;7x7;100
4;640x360;9x9;0
4;640x360;11x11;100
4;640x360;13x13;0
4;640x360;15x15;0
3;320x180;3x3;0
3;320x180;5x5;0
3;320x180;7x7;0
3;320x180;9x9;0
3;320x180;11x11;0
3;320x180;13x13;0
3;320x180;15x15;0
2;160x90;3x3;100
2;160x90;5x5;0
2;160x90;7x7;100
2;160x90;9x9;100
2;160x90;11x11;100
2;160x90;13x13;0
2;160x90;15x15;100
1;80x45;3x3;0
1;80x45;5x5;0
1;80x45;7x7;0
1;80x45;9x9;100
1;80x45;11x11;0
1;80x45;13x13;0
1;80x45;15x15;0
5;1280x720;3x3;0
5;1280x720;5x5;100
5;1280x720;7x7;0
5;1280x720;9x9;100
5;1280x720;11x11;0
5;1280x720;13x13;0
5;1280x720;15x15;0
4;640x360;3x3;0
4;640x360;5x5;0
4;640x360;7x7;0
4;640x360;9x9;0
4;640x360;11x11;100
4;640x360;13x13;0
4;640x360;15x15;0
3;320x180;3x3;0
3;320x180;5x5;0
3;320x180;7x7;0
3;320x180;9x9;0
3;320x180;11x11;100
3;320x180;13x13;100
3;320x180;15x15;100
2;160x90;3x3;100
2;160x90;5x5;100
2;160x90;7x7;0
2;160x90;9x9;0
2;160x90;11x11;0
2;160x90;13x13;0
2;160x90;15x15;0
1;80x45;3x3;0
1;80x45;5x5;100
1;80x45;7x7;0
1;80x45;9x9;0
1;80x45;11x11;100
1;80x45;13x13;0
1;80x45;15x15;0
5;1280x720;3x3;0
5;1280x720;5x5;100
5;1280x720;7x7;100
5;1280x720;9x9;0
5;1280x720;11x11;0
5;1280x720;13x13;0
5;1280x720;15x15;0
4;640x360;3x3;0
4;640x360;5x5;100
4;640x360;7x7;100
4;640x360;9x9;0
4;640x360;11x11;100
4;640x360;13x13;0
4;640x360;15x15;0
3;320x180;3x3;0
3;320x180;5x5;100
3;320x180;7x7;0
3;320x180;9x9;100
3;320x180;11x11;0
3;320x180;13x13;0
3;320x180;15x15;0
2;160x90;3x3;0
2;160x90;5x5;100
2;160x90;7x7;0
2;160x90;9x9;100
2;160x90;11x11;0
2;160x90;13x13;100
2;160x90;15x15;100
1;80x45;3x3;100
1;80x45;5x5;100
1;80x45;7x7;100
1;80x45;9x9;0
1;80x45;11x11;0
1;80x45;13x13;0
1;80x45;15x15;100
